SALA 111 P5 - 1o. Semestre 2022,,,,,,
Capacidade: 24 alunos,,,,,,
Horário,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SÁBADO
07:00 - 08:00,,,,,,
08:00 - 09:00,"Análise Financeira de Projetos PRO01432, PRO01431 Prof. Alcimar",Inteligência Artificial Profa. Annabell,"Análise Financeira de Projetos PRO01432, PRO01431 Prof. Alcimar",Inteligência Artificial Profa. Annabell,,
09:00 - 10:00,,,,,,
10:00 - 11:00,,Compiladores Profa. Annabell,,Compiladores Profa. Annabell,Projeto de Monografia Prof. Rivera,
11:00 - 12:00,,,,,,
12:00 - 13:00,,,,,,Estágio
13:00 - 14:00,,,,,,Profa. Jacqueline
14:00 - 15:00,Projeto do Produto Prof. Luiz Zeferino,Informações Gerenciadas,Projeto do Produto Prof. Luiz Zeferino,Tópicos Avançados em Dinâmica,Estágio Supervisionado Prof. Tang,
15:00 - 16:00,,,,,,
16:00 - 17:00,,Integradas Prof. Carlos,,Competitiva Industrial Prof. Sebastião Décio,Monografia Prof. Tang,
17:00 - 18:00,,,,,,
18:00 - 19:00,Pré-Projeto de Graduação Profa. Jacqueline,,,,,
19:00 - 20:00,,,,,,
20:00 - 21:00,Projeto de Graduação Profa. Jacqueline,,,,,
21:00 - 22:00,,,,,,
